city,date,mean_pm25
Halifax,2001-08-10,35.166666666666664
Halifax,2001-08-11,6.75
Halifax,2001-08-12,7.083333333333333
Halifax,2001-08-13,5.291666666666667
Halifax,2001-08-14,6.791666666666667
Halifax,2001-08-15,6.916666666666667
Halifax,2001-08-16,3.5416666666666665
Halifax,2001-08-17,6.625
Halifax,2001-08-18,10.083333333333334
Halifax,2001-08-19,8.916666666666666
Halifax,2001-08-20,8.041666666666666
Halifax,2001-08-21,4.375
Halifax,2001-08-22,11.041666666666666
Halifax,2001-08-23,16.25
Halifax,2001-08-24,6.125
Halifax,2001-08-25,1.875
Halifax,2001-08-26,3.625
Halifax,2001-08-27,5.0
Halifax,2001-08-28,12.333333333333334
Halifax,2001-08-29,6.333333333333333
Halifax,2001-08-30,3.7083333333333335
Halifax,2001-08-31,5.458333333333333
Halifax,2001-09-01,5.5
Halifax,2001-09-02,1.125
Halifax,2001-09-03,3.7083333333333335
Halifax,2001-09-04,3.4166666666666665
Halifax,2001-09-05,2.0833333333333335
Halifax,2001-09-06,1.5833333333333333
Halifax,2001-09-07,5.166666666666667
Halifax,2001-09-08,7.416666666666667
Halifax,2001-09-09,13.875
Halifax,2001-09-10,4.916666666666667
Halifax,2001-09-11,5.15
Halifax,2001-09-12,2.25
Halifax,2001-09-13,3.0
Halifax,2001-09-14,2.7916666666666665
Halifax,2001-09-15,2.2083333333333335
Halifax,2001-09-16,3.1666666666666665
Halifax,2001-09-17,6.166666666666667
Halifax,2001-09-18,6.125
Halifax,2001-09-19,2.9166666666666665
Halifax,2001-09-20,3.25
Halifax,2001-09-21,4.416666666666667
Halifax,2001-09-22,4.416666666666667
Halifax,2001-09-23,5.958333333333333
Halifax,2001-09-24,8.416666666666666
Halifax,2001-09-25,4.416666666666667
Halifax,2001-09-26,0.7083333333333334
Halifax,2001-09-27,4.833333333333333
Halifax,2001-09-28,1.75
Halifax,2001-09-29,2.5833333333333335
Halifax,2001-09-30,2.4166666666666665
Halifax,2001-10-01,1.9583333333333333
Halifax,2001-10-02,5.75
Halifax,2001-10-03,7.916666666666667
Halifax,2001-10-04,23.541666666666668
Halifax,2001-10-05,26.25
Halifax,2001-10-06,14.583333333333334
Halifax,2001-10-07,1.5833333333333333
Halifax,2001-10-08,2.125
Halifax,2001-10-09,2.2083333333333335
Halifax,2001-10-10,5.875
Halifax,2001-10-11,10.375
Halifax,2001-10-12,10.166666666666666
Halifax,2001-10-13,6.75
Halifax,2001-10-14,4.416666666666667
Halifax,2001-10-15,2.1666666666666665
Halifax,2001-10-16,4.708333333333333
Halifax,2001-10-17,2.875
Halifax,2001-10-18,3.0
Halifax,2001-10-19,4.583333333333333
Halifax,2001-10-20,6.416666666666667
Halifax,2001-10-21,9.041666666666666
Halifax,2001-10-22,10.166666666666666
Halifax,2001-10-23,3.473684210526316
Halifax,2001-10-24,5.666666666666667
Halifax,2001-10-25,3.5416666666666665
Halifax,2001-10-26,4.875
Halifax,2001-10-27,6.583333333333333
Halifax,2001-10-28,3.2916666666666665
Halifax,2001-10-29,2.2916666666666665
Halifax,2001-10-30,3.7916666666666665
Halifax,2001-10-31,2.4583333333333335
Halifax,2001-11-01,3.4583333333333335
Halifax,2001-11-02,7.166666666666667
Halifax,2001-11-03,7.75
Halifax,2001-11-04,8.0
Halifax,2001-11-05,6.958333333333333
Halifax,2001-11-06,3.5833333333333335
Halifax,2001-11-07,1.5416666666666667
Halifax,2001-11-08,3.4166666666666665
Halifax,2001-11-09,3.4166666666666665
Halifax,2001-11-10,2.7083333333333335
Halifax,2001-11-11,2.625
Halifax,2001-11-12,2.3333333333333335
Halifax,2001-11-13,3.0
Halifax,2001-11-14,5.666666666666667
Halifax,2001-11-15,12.708333333333334
Halifax,2001-11-16,19.958333333333332
Halifax,2001-11-17,1.5
Halifax,2001-11-18,4.041666666666667
Halifax,2001-11-19,9.0
Halifax,2001-11-20,4.375
Halifax,2001-11-21,1.9583333333333333
Halifax,2001-11-22,4.375
Halifax,2001-11-23,4.833333333333333
Halifax,2001-11-24,5.083333333333333
Halifax,2001-11-25,5.083333333333333
Halifax,2001-11-26,3.9166666666666665
Halifax,2001-11-27,5.541666666666667
Halifax,2001-11-28,2.4583333333333335
Halifax,2001-11-29,2.75
Halifax,2001-11-30,3.4166666666666665
Halifax,2001-12-01,6.041666666666667
Halifax,2001-12-02,3.4166666666666665
Halifax,2001-12-03,5.875
Halifax,2001-12-04,5.625
Halifax,2001-12-05,6.416666666666667
Halifax,2001-12-06,11.208333333333334
Halifax,2001-12-07,4.541666666666667
Halifax,2001-12-08,2.875
Halifax,2001-12-09,2.875
Halifax,2001-12-10,3.7083333333333335
Halifax,2001-12-11,5.416666666666667
Halifax,2001-12-12,4.75
Halifax,2001-12-13,3.0
Halifax,2001-12-14,3.0
Halifax,2001-12-15,2.0
Halifax,2001-12-16,2.1666666666666665
Halifax,2001-12-17,2.25
Halifax,2001-12-18,1.9166666666666667
Halifax,2001-12-19,3.3333333333333335
Halifax,2001-12-20,4.958333333333333
Halifax,2001-12-21,3.2083333333333335
Halifax,2001-12-22,1.6666666666666667
Halifax,2001-12-23,2.4166666666666665
Halifax,2001-12-24,4.791666666666667
Halifax,2001-12-25,2.875
Halifax,2001-12-26,4.583333333333333
Halifax,2001-12-27,3.125
Halifax,2001-12-28,5.625
Halifax,2001-12-29,7.041666666666667
Halifax,2001-12-30,5.0
Halifax,2001-12-31,4.083333333333333
Halifax,2002-01-01,3.5416666666666665
Halifax,2002-01-02,3.75
Halifax,2002-01-03,4.125
Halifax,2002-01-04,2.25
Halifax,2002-01-05,5.333333333333333
Halifax,2002-01-06,10.666666666666666
Halifax,2002-01-07,4.541666666666667
Halifax,2002-01-08,2.3333333333333335
Halifax,2002-01-09,7.958333333333333
Halifax,2002-01-10,6.75
Halifax,2002-01-11,5.791666666666667
Halifax,2002-01-12,3.8333333333333335
Halifax,2002-01-13,3.5454545454545454
Halifax,2002-01-14,4.791666666666667
Halifax,2002-01-15,3.0416666666666665
Halifax,2002-01-16,2.2083333333333335
Halifax,2002-01-17,4.708333333333333
Halifax,2002-01-18,4.590909090909091
Halifax,2002-01-19,4.708333333333333
Halifax,2002-01-20,3.2083333333333335
Halifax,2002-01-21,6.458333333333333
Halifax,2002-01-22,2.5
Halifax,2002-01-23,4.791666666666667
Halifax,2002-01-24,5.333333333333333
Halifax,2002-01-25,4.523809523809524
Halifax,2002-01-26,3.375
Halifax,2002-01-27,2.1666666666666665
Halifax,2002-01-28,3.1666666666666665
Halifax,2002-01-29,9.583333333333334
Halifax,2002-01-30,1.75
Halifax,2002-01-31,0.7916666666666666
Halifax,2002-02-01,1.0833333333333333
Halifax,2002-02-02,1.75
Halifax,2002-02-03,2.7916666666666665
Halifax,2002-02-04,2.3157894736842106
Halifax,2002-02-05,0.75
Halifax,2002-02-06,1.375
Halifax,2002-02-07,1.7916666666666667
Halifax,2002-02-08,1.7916666666666667
Halifax,2002-02-09,1.375
Halifax,2002-02-10,2.0416666666666665
Halifax,2002-02-11,2.75
Halifax,2002-02-12,1.8181818181818181
Halifax,2002-02-13,1.6363636363636365
Halifax,2002-02-14,2.625
Halifax,2002-02-15,5.5
Halifax,2002-02-16,4.166666666666667
Halifax,2002-02-17,10.083333333333334
Halifax,2002-02-18,2.4166666666666665
Halifax,2002-02-19,1.1764705882352942
Halifax,2002-02-20,2.375
Halifax,2002-02-21,2.7916666666666665
Halifax,2002-02-22,2.7083333333333335
Halifax,2002-02-23,2.625
Halifax,2002-02-24,1.3333333333333333
Halifax,2002-02-25,1.6666666666666667
Halifax,2002-02-26,2.25
Halifax,2002-02-27,0.75
Halifax,2002-02-28,3.125
Halifax,2002-03-01,3.7916666666666665
Halifax,2002-03-02,5.75
Halifax,2002-03-03,4.625
Halifax,2002-03-04,2.0416666666666665
Halifax,2002-03-05,2.4166666666666665
Halifax,2002-03-06,5.083333333333333
Halifax,2002-03-07,8.416666666666666
Halifax,2002-03-08,4.708333333333333
Halifax,2002-03-09,6.208333333333333
Halifax,2002-03-10,1.4166666666666667
Halifax,2002-03-11,2.4583333333333335
Halifax,2002-03-12,5.583333333333333
Halifax,2002-03-13,5.666666666666667
Halifax,2002-03-14,2.7916666666666665
Halifax,2002-03-15,2.5833333333333335
Halifax,2002-03-16,1.2083333333333333
Halifax,2002-03-17,2.9583333333333335
Halifax,2002-03-18,2.5833333333333335
Halifax,2002-03-19,2.533333333333333
Halifax,2002-03-20,1.8888888888888888
Halifax,2002-03-21,0.7916666666666666
Halifax,2002-03-22,2.7916666666666665
Halifax,2002-03-23,4.5
Halifax,2002-03-24,6.0
Halifax,2002-03-25,3.3333333333333335
Halifax,2002-03-26,2.875
Halifax,2002-03-27,2.75
Halifax,2002-03-28,1.2083333333333333
Halifax,2002-03-29,4.125
Halifax,2002-03-30,5.083333333333333
Halifax,2002-03-31,3.75
Halifax,2002-04-01,1.125
Halifax,2002-04-02,2.4583333333333335
Halifax,2002-04-03,7.916666666666667
Halifax,2002-04-04,2.0416666666666665
Halifax,2002-04-05,3.75
Halifax,2002-04-06,4.125
Halifax,2002-04-07,3.375
Halifax,2002-04-08,5.333333333333333
Halifax,2002-04-09,5.5
Halifax,2002-04-10,3.4583333333333335
Halifax,2002-04-11,4.791666666666667
Halifax,2002-04-12,5.083333333333333
Halifax,2002-04-13,7.791666666666667
Halifax,2002-04-14,2.7916666666666665
Halifax,2002-04-15,0.7083333333333334
Halifax,2002-04-16,3.7083333333333335
Halifax,2002-04-17,2.4166666666666665
Halifax,2002-04-18,4.125
Halifax,2002-04-19,4.416666666666667
Halifax,2002-04-20,1.7083333333333333
Halifax,2002-04-21,1.9583333333333333
Halifax,2002-04-22,2.4166666666666665
Halifax,2002-04-23,2.0416666666666665
Halifax,2002-04-24,3.7083333333333335
Halifax,2002-04-25,3.0833333333333335
Halifax,2002-04-26,2.2916666666666665
Halifax,2002-04-27,1.9583333333333333
Halifax,2002-04-28,2.9583333333333335
Halifax,2002-04-29,0.20833333333333334
Halifax,2002-04-30,1.3333333333333333
Halifax,2002-05-01,3.8333333333333335
Halifax,2002-05-02,4.125
Halifax,2002-05-03,1.75
Halifax,2002-05-04,2.5833333333333335
Halifax,2002-05-05,3.125
Halifax,2002-05-06,5.166666666666667
Halifax,2002-05-07,5.958333333333333
Halifax,2002-05-08,1.9166666666666667
Halifax,2002-05-09,3.375
Halifax,2002-05-10,3.75
Halifax,2002-05-11,2.375
Halifax,2002-05-12,1.6666666666666667
Halifax,2002-05-13,4.041666666666667
Halifax,2002-05-14,2.5416666666666665
Halifax,2002-05-15,4.125
Halifax,2002-05-16,3.4583333333333335
Halifax,2002-05-17,15.708333333333334
Halifax,2002-05-18,1.625
Halifax,2002-05-19,1.5416666666666667
Halifax,2002-05-20,2.625
Halifax,2002-05-21,3.9166666666666665
Halifax,2002-05-22,3.4166666666666665
Halifax,2002-05-23,6.208333333333333
Halifax,2002-05-24,3.5416666666666665
Halifax,2002-05-25,2.4583333333333335
Halifax,2002-05-26,3.7083333333333335
Halifax,2002-05-27,7.764705882352941
Halifax,2002-05-28,5.571428571428571
Halifax,2002-05-29,5.208333333333333
Halifax,2002-05-30,7.0
Halifax,2002-05-31,6.625
Halifax,2002-06-01,6.6923076923076925
Halifax,2002-06-02,10.736842105263158
Halifax,2002-06-03,0.42857142857142855
Halifax,2002-06-04,2.4444444444444446
Halifax,2002-06-05,3.25
Halifax,2002-06-06,3.5
Halifax,2002-06-07,2.5
Halifax,2002-06-08,2.125
Halifax,2002-06-09,2.7083333333333335
Halifax,2002-06-10,2.4583333333333335
