Pollutant//Polluant,Method Code//Code Méthode,NAPS ID//Identifiant SNPA,City//Ville,Province/Territory//Province/Territoire,Latitude//Latitude,Longitude//Longitude,Date//Date,H01//H01,H02//H02,H03//H03,H04//H04,H05//H05,H06//H06,H07//H07,H08//H08,H09//H09,H10//H10,H11//H11,H12//H12,H13//H13,H14//H14,H15//H15,H16//H16,H17//H17,H18//H18,H19//H19,H20//H20,H21//H21,H22//H22,H23//H23,H24//H24
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,19990101,5,4,5,2,4,3,5,4,4,3,4,6,4,4,4,5,5,8,6,6,3,3,6,6
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,19990102,13,12,6,8,8,12,9,13,15,12,7,3,3,4,6,3,2,1,3,2,3,2,1,3
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,19990103,2,2,2,3,5,4,4,6,6,8,10,8,8,8,8,9,7,5,5,3,5,4,1,2
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,19990104,4,4,4,3,2,2,5,3,4,4,2,1,1,3,4,2,1,1,1,2,3,0,2,7
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,19990105,9,11,11,10,11,11,13,14,16,15,0,0,7,6,6,7,8,10,7,9,9,7,7,9
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,19990106,8,7,5,5,6,5,5,7,9,7,8,4,4,6,7,8,14,22,23,30,33,27,25,22
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,19990107,18,15,19,14,13,14,12,13,26,33,8,3,4,5,6,6,5,7,4,4,4,3,1,3
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,19990108,3,1,0,1,4,7,9,8,5,4,4,5,3,5,3,6,4,3,3,3,4,3,5,4
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,19990109,5,5,6,7,5,9,7,8,13,11,7,7,5,5,5,5,4,6,7,8,9,9,9,9
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,19990110,7,8,9,7,5,4,7,8,8,6,3,1,0,3,3,0,1,0,1,0,0,1,0,-999
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,19990111,2,1,0,0,0,0,1,1,3,5,6,5,3,3,5,0,0,10,8,7,7,6,2,5
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,19990112,4,4,8,7,10,6,9,12,13,12,5,8,8,11,11,11,13,15,11,10,8,5,6,8
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,19990113,8,9,10,7,8,9,11,12,15,16,20,12,15,16,15,16,18,13,13,17,10,5,3,2
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,19990114,2,3,0,2,3,5,3,4,18,32,13,19,8,16,20,7,11,8,4,5,4,3,5,5
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,19990115,3,6,4,4,5,3,7,8,11,11,9,23,21,23,23,20,10,10,17,16,13,11,15,5
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,19990116,3,3,5,3,4,3,5,7,7,7,2,0,0,0,2,5,-999,9,12,12,12,13,11,13
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,19990117,12,12,10,8,8,8,7,8,11,11,12,13,14,11,12,13,10,10,10,11,8,8,9,6
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,19990118,8,10,12,5,6,5,7,7,13,21,13,14,7,10,12,9,10,11,12,13,15,9,7,8
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,19990119,6,6,6,7,7,11,11,11,48,19,8,6,6,6,6,8,6,4,2,2,0,2,1,1
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,19990120,0,-999,0,6,7,8,11,12,14,13,13,10,10,10,11,11,12,13,13,11,10,10,9,9
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,19990121,9,9,8,7,8,9,10,13,13,8,3,6,6,7,8,8,9,8,6,6,6,6,5,1
