city,date,mean_pm25
Charlottetown,2003-07-02,10.478260869565217
Charlottetown,2003-07-03,28.6
Charlottetown,2003-07-04,27.0
Charlottetown,2003-07-05,20.458333333333332
Charlottetown,2003-07-06,9.0
Charlottetown,2003-07-07,9.625
Charlottetown,2003-07-08,16.083333333333332
Charlottetown,2003-07-09,1.875
Charlottetown,2003-07-10,3.0833333333333335
Charlottetown,2003-07-11,4.5
Charlottetown,2003-07-12,4.583333333333333
Charlottetown,2003-07-13,5.208333333333333
Charlottetown,2003-07-14,8.708333333333334
Charlottetown,2003-07-15,14.458333333333334
Charlottetown,2003-07-16,16.0
Charlottetown,2003-07-17,7.208333333333333
Charlottetown,2003-07-18,3.2916666666666665
Charlottetown,2003-07-19,4.125
Charlottetown,2003-07-20,8.75
Charlottetown,2003-07-21,18.625
Charlottetown,2003-07-22,13.625
Charlottetown,2003-07-23,14.958333333333334
Charlottetown,2003-07-24,7.208333333333333
Charlottetown,2003-07-25,7.3478260869565215
Charlottetown,2003-07-26,21.041666666666668
Charlottetown,2003-07-27,20.083333333333332
Charlottetown,2003-07-28,3.8333333333333335
Charlottetown,2003-07-29,8.541666666666666
Charlottetown,2003-07-30,12.375
Charlottetown,2003-07-31,15.5
Charlottetown,2003-08-01,8.458333333333334
Charlottetown,2003-08-02,5.083333333333333
Charlottetown,2003-08-03,13.416666666666666
Charlottetown,2003-08-04,12.416666666666666
Charlottetown,2003-08-05,13.625
Charlottetown,2003-08-06,13.458333333333334
Charlottetown,2003-08-07,18.083333333333332
Charlottetown,2003-08-08,21.416666666666668
Charlottetown,2003-08-09,21.166666666666668
Charlottetown,2003-08-10,9.041666666666666
Charlottetown,2003-08-11,7.041666666666667
Charlottetown,2003-08-12,6.947368421052632
Charlottetown,2003-08-13,10.791666666666666
Charlottetown,2003-08-14,10.041666666666666
Charlottetown,2003-08-15,13.375
Charlottetown,2003-08-16,16.416666666666668
Charlottetown,2003-08-17,5.916666666666667
Charlottetown,2003-08-18,10.333333333333334
Charlottetown,2003-08-19,8.541666666666666
Charlottetown,2003-08-20,15.416666666666666
Charlottetown,2003-08-21,39.5
Charlottetown,2003-08-22,17.0
Charlottetown,2003-08-23,2.1666666666666665
Charlottetown,2003-08-24,2.875
Charlottetown,2003-08-25,7.739130434782608
Charlottetown,2003-08-26,12.25
Charlottetown,2003-08-27,7.083333333333333
Charlottetown,2003-08-28,2.25
Charlottetown,2003-08-29,12.333333333333334
Charlottetown,2003-08-30,2.2083333333333335
Charlottetown,2003-08-31,3.7916666666666665
Charlottetown,2003-09-01,6.916666666666667
Charlottetown,2003-09-02,4.086956521739131
Charlottetown,2003-09-03,5.75
Charlottetown,2003-09-04,6.916666666666667
Charlottetown,2003-09-05,2.875
Charlottetown,2003-09-06,3.25
Charlottetown,2003-09-07,5.166666666666667
Charlottetown,2003-09-08,2.2083333333333335
Charlottetown,2003-09-09,4.375
Charlottetown,2003-09-10,8.125
Charlottetown,2003-09-11,15.25
Charlottetown,2003-09-12,13.208333333333334
Charlottetown,2003-09-13,7.708333333333333
Charlottetown,2003-09-14,4.333333333333333
Charlottetown,2003-09-15,3.7083333333333335
Charlottetown,2003-09-16,5.375
Charlottetown,2003-09-17,7.333333333333333
Charlottetown,2003-09-18,4.958333333333333
Charlottetown,2003-09-19,4.333333333333333
Charlottetown,2003-09-20,4.791666666666667
Charlottetown,2003-09-21,3.9583333333333335
Charlottetown,2003-09-22,10.083333333333334
Charlottetown,2003-09-23,5.208333333333333
Charlottetown,2003-09-24,4.833333333333333
Charlottetown,2003-09-25,6.25
Charlottetown,2003-09-26,5.083333333333333
Charlottetown,2003-09-27,9.541666666666666
Charlottetown,2003-09-28,1.625
Charlottetown,2003-09-29,5.0
