Pollutant//Polluant,Method Code//Code Méthode,NAPS ID//Identifiant SNPA,City//Ville,Province/Territory//Province/Territoire,Latitude//Latitude,Longitude//Longitude,Date//Date,H01//H01,H02//H02,H03//H03,H04//H04,H05//H05,H06//H06,H07//H07,H08//H08,H09//H09,H10//H10,H11//H11,H12//H12,H13//H13,H14//H14,H15//H15,H16//H16,H17//H17,H18//H18,H19//H19,H20//H20,H21//H21,H22//H22,H23//H23,H24//H24
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,19980101,9,9,9,8,8,8,9,7,7,6,4,3,0,2,3,2,1,0,0,3,2,1,1,2
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,19980102,2,3,2,2,0,3,3,5,5,7,8,8,7,6,10,9,14,12,16,20,20,11,9,11
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,19980103,11,3,3,5,4,8,5,7,13,13,8,10,8,9,9,7,10,11,12,12,16,17,19,20
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,19980104,20,16,14,12,9,11,13,13,12,12,10,10,8,12,14,11,4,-999,5,0,4,2,3,4
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,19980105,4,2,3,3,4,4,6,2,4,2,3,4,3,5,7,7,9,7,5,6,7,5,6,7
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,19980106,9,15,12,10,9,8,14,11,9,10,12,9,3,0,1,3,3,6,3,3,5,4,3,3
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,19980107,2,3,1,2,3,2,3,4,6,4,5,4,5,5,3,4,7,10,7,4,5,6,7,7
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,19980108,7,8,7,5,5,6,7,5,8,10,3,1,2,1,2,5,11,9,11,9,11,10,10,8
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,19980109,6,9,9,9,4,3,3,1,6,6,4,7,7,8,8,8,6,5,3,5,4,4,3,3
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,19980110,3,3,3,4,4,3,5,5,5,7,9,6,7,8,10,8,9,8,8,10,9,8,7,5
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,19980111,4,3,3,2,2,2,3,3,2,3,3,2,3,3,4,4,4,4,3,3,4,3,4,2
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,19980112,3,2,3,3,1,2,3,4,4,6,7,7,5,10,3,8,5,4,1,3,4,4,5,6
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,19980113,4,5,3,3,3,4,3,4,7,5,5,4,5,5,5,5,5,5,7,10,6,9,6,6
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,19980114,5,5,6,4,5,7,4,5,10,10,5,4,4,4,3,2,5,4,9,4,3,4,4,3
