Pollutant//Polluant,Method Code//Code Méthode,NAPS ID//Identifiant SNPA,City//Ville,Province/Territory//Province/Territoire,Latitude//Latitude,Longitude//Longitude,Date//Date,H01//H01,H02//H02,H03//H03,H04//H04,H05//H05,H06//H06,H07//H07,H08//H08,H09//H09,H10//H10,H11//H11,H12//H12,H13//H13,H14//H14,H15//H15,H16//H16,H17//H17,H18//H18,H19//H19,H20//H20,H21//H21,H22//H22,H23//H23,H24//H24
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010101,0,0,1,3,2,7,10,13,11,12,11,8,4,5,4,6,7,7,6,7,7,8,6,6
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010102,4,6,3,3,2,1,4,4,5,6,6,4,2,2,2,2,3,5,1,4,3,4,2,4
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010103,2,5,3,3,9,4,6,7,10,12,4,1,3,2,5,5,6,6,6,9,13,12,12,6
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010104,4,5,4,5,4,7,5,12,13,22,13,2,2,5,3,8,7,7,3,6,4,4,3,2
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010105,4,5,6,1,1,0,3,4,6,5,7,2,4,4,3,5,5,5,8,9,9,9,10,8
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010106,8,4,7,3,3,3,3,4,5,5,4,3,3,2,4,2,2,3,2,3,3,2,4,4
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010107,1,3,2,2,0,2,0,0,0,1,0,0,0,0,2,3,1,3,2,3,1,4,3,3
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010108,4,7,6,7,9,11,11,9,5,3,3,3,1,3,2,3,1,2,0,1,1,2,2,3
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010109,0,4,0,3,0,3,4,10,7,12,7,11,3,5,4,8,4,4,3,6,3,5,1,3
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010110,3,1,2,1,1,2,0,4,2,3,1,4,1,5,1,4,2,4,1,1,1,2,0,1
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010111,0,1,0,2,1,2,1,2,3,4,5,3,6,5,8,5,4,4,4,4,7,3,5,4
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010112,5,8,7,5,7,6,8,12,19,11,-999,-999,0,0,1,3,4,4,4,3,9,10,9,6
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010113,5,5,4,7,6,2,3,3,4,10,7,5,5,5,2,3,2,4,4,4,3,4,3,4
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010114,8,8,7,8,8,6,4,3,5,5,4,4,3,4,4,5,5,5,5,5,4,3,4,2
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010115,3,6,7,7,5,6,4,4,4,4,4,3,5,4,5,4,5,3,6,8,5,6,8,6
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010116,5,8,8,4,4,7,4,7,12,8,9,4,1,2,3,3,2,2,0,0,0,0,0,1
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010117,5,4,1,0,1,3,2,2,2,2,3,2,3,3,4,5,4,6,4,4,4,4,4,3
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010118,4,4,3,3,3,2,7,10,14,-999,-999,2,4,4,4,5,6,8,5,4,4,5,5,5
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010119,3,6,5,6,8,5,7,11,17,25,22,13,8,7,7,5,7,6,9,10,13,7,4,5
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010120,7,3,0,0,0,0,0,0,1,4,3,2,2,5,5,5,7,6,7,5,5,5,4,4
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010121,4,6,4,2,4,5,4,2,6,4,5,3,2,3,4,4,5,4,9,1,0,2,3,6
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010122,2,2,3,4,4,7,6,7,8,7,5,5,7,4,4,5,3,3,3,2,3,3,2,3
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010123,3,5,5,2,3,4,3,4,6,7,6,4,5,4,5,8,7,6,6,8,5,5,6,8
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010124,7,8,8,6,4,5,4,7,7,8,8,6,4,6,6,7,7,6,5,5,5,7,8,7
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010125,4,6,7,7,6,9,10,11,17,16,13,13,12,10,11,11,17,17,13,10,10,10,9,10
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010126,9,10,10,11,12,6,8,8,5,6,4,3,3,4,5,8,9,15,10,14,16,12,20,30
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010127,31,29,32,35,34,3,0,0,2,1,0,1,1,2,2,1,3,3,4,4,3,4,5,4
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010128,5,4,5,5,6,6,7,8,7,9,7,6,5,6,7,5,8,9,10,8,8,7,7,7
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010129,7,7,8,8,6,4,5,6,5,5,6,5,4,3,4,5,6,6,5,4,4,4,4,3
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010130,3,4,4,4,2,3,1,8,3,3,8,4,2,-999,-999,5,5,10,6,10,13,10,8,7
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010131,8,8,10,8,6,5,7,9,15,21,13,7,3,3,3,4,4,6,6,3,6,6,7,8
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010201,5,7,10,10,9,9,11,17,26,27,19,15,5,5,5,6,6,6,9,11,14,10,9,12
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010202,11,11,3,3,4,6,8,9,18,19,0,4,5,6,6,9,7,5,9,5,7,11,12,7
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010203,7,6,8,9,9,0,2,0,0,0,0,0,0,3,3,4,4,4,5,4,5,6,4,3
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010204,4,3,2,3,2,2,1,3,4,4,6,4,5,2,2,3,2,2,2,2,3,5,5,2
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010205,3,2,1,8,2,5,7,9,8,6,-999,-999,0,2,5,8,7,5,6,8,8,10,13,14
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010206,11,12,11,14,10,13,13,15,3,1,2,1,0,4,4,1,2,1,3,5,5,7,4,6
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010207,7,9,8,7,5,4,6,6,6,4,3,5,6,4,2,5,6,5,4,5,3,4,4,3
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010208,3,3,3,4,6,6,5,5,3,3,3,4,5,3,3,4,3,4,3,3,4,2,3,3
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010209,5,4,2,3,2,3,4,3,5,7,3,3,3,2,2,5,4,6,5,4,6,2,3,3
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010210,5,3,2,3,8,7,8,10,13,5,2,2,0,0,0,0,0,0,0,2,8,4,2,3
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010211,6,10,13,14,9,6,6,6,4,5,6,5,4,6,4,7,9,5,3,3,5,5,6,7
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010212,7,10,4,4,4,5,7,4,5,6,4,5,3,3,5,3,6,3,4,4,3,3,3,5
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010213,3,1,2,2,3,1,1,3,2,4,8,4,5,4,6,5,6,6,7,10,10,7,9,6
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010214,7,5,8,6,9,10,10,14,8,4,7,4,11,3,3,5,2,5,9,9,17,9,10,8
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010215,5,4,4,4,1,3,3,5,7,3,2,0,1,5,2,2,3,3,1,0,1,0,2,0
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010216,2,5,3,9,9,9,8,5,6,5,4,3,2,3,3,3,3,7,5,5,5,4,4,4
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010217,6,8,9,5,6,6,9,9,4,11,7,5,6,6,7,7,6,3,0,2,-999,0,0,0
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010218,3,3,0,3,2,3,5,7,10,8,10,11,11,8,5,6,8,7,8,7,5,3,6,3
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010219,5,1,5,4,3,7,10,11,20,15,9,5,4,6,6,7,6,9,13,8,12,13,10,9
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010220,6,5,7,5,5,3,4,5,7,4,3,5,5,2,3,7,8,6,5,4,4,4,7,4
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010221,2,4,4,3,4,4,3,2,3,6,6,8,5,8,4,3,0,0,3,1,0,3,4,0
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010222,0,0,0,0,0,1,0,1,5,3,6,9,4,3,9,3,4,3,11,6,3,5,8,2
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010223,2,4,7,5,5,4,9,12,10,5,0,3,3,3,6,-999,-999,0,0,0,2,0,0,0
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010224,2,3,4,5,3,5,5,4,8,10,12,9,7,6,6,5,6,5,5,4,6,6,4,4
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010225,4,4,1,3,3,3,5,7,2,4,3,3,3,4,4,5,4,6,6,5,3,4,4,3
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20010226,1,2,2,2,1,3,4,5,7,9,11,12,16,15,8,9,3,3,4,3,3,5,3,3
