Pollutant//Polluant,Method Code//Code Méthode,NAPS ID//Identifiant SNPA,City//Ville,Province/Territory//Province/Territoire,Latitude//Latitude,Longitude//Longitude,Date//Date,H01//H01,H02//H02,H03//H03,H04//H04,H05//H05,H06//H06,H07//H07,H08//H08,H09//H09,H10//H10,H11//H11,H12//H12,H13//H13,H14//H14,H15//H15,H16//H16,H17//H17,H18//H18,H19//H19,H20//H20,H21//H21,H22//H22,H23//H23,H24//H24
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20000101,14,22,16,16,12,9,7,6,10,10,8,14,6,5,2,5,5,9,2,8,11,13,12,6
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20000102,4,8,4,4,4,3,3,6,5,7,6,10,7,9,7,10,7,8,6,9,3,6,4,6
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20000103,3,5,4,5,2,4,2,6,4,4,4,1,0,3,10,5,10,11,7,7,5,1,2,3
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20000104,2,1,4,0,0,0,3,5,4,3,6,5,3,3,6,7,7,9,9,4,3,0,3,0
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20000105,4,1,2,0,4,6,6,3,3,5,1,3,3,5,5,4,0,-999,0,1,1,0,0,0
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20000106,2,1,3,0,3,0,3,3,1,2,3,0,-999,-999,0,3,3,2,3,6,4,1,5,0
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20000107,6,3,4,3,3,3,4,6,10,12,10,4,3,5,3,5,3,5,3,4,3,4,2,3
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20000108,1,2,2,0,-999,0,-999,0,0,2,2,2,3,3,4,6,6,6,7,7,7,5,7,4
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20000109,7,5,8,7,7,7,5,4,3,5,3,5,2,5,4,5,6,6,11,9,14,11,9,6
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20000110,4,2,3,1,1,0,2,5,7,7,6,4,6,4,5,6,5,5,5,6,4,5,3,6
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20000111,6,6,5,7,5,4,2,5,5,8,6,4,7,7,9,8,6,2,3,3,1,2,2,4
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20000112,1,3,1,2,0,1,0,0,5,2,5,2,2,1,2,3,5,6,6,7,5,7,7,7
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20000113,7,3,7,5,8,5,7,6,10,8,8,6,8,5,7,7,7,6,3,5,4,5,6,6
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20000114,5,5,4,5,3,4,0,0,1,9,5,5,8,4,4,2,8,6,7,6,6,6,6,4
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20000115,4,4,7,4,5,4,6,3,7,3,5,4,7,4,7,4,6,4,4,5,3,5,3,4
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20000116,3,1,3,1,2,2,2,2,2,2,2,1,2,3,2,4,3,3,3,1,2,0,2,1
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20000117,1,2,0,2,2,1,0,4,4,3,3,2,4,1,5,3,6,5,7,5,5,4,3,2
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20000118,3,2,1,3,2,1,4,4,4,5,1,5,1,5,2,4,1,2,3,4,4,2,3,4
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20000119,4,4,2,3,4,0,3,4,5,3,6,3,5,4,5,4,5,5,3,5,4,7,8,5
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20000120,6,2,1,1,1,1,2,2,5,3,2,5,5,8,10,12,14,4,7,3,4,0,5,4
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20000121,6,7,10,7,8,8,10,13,12,14,9,11,8,9,8,10,10,4,6,2,7,7,5,7
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20000122,7,10,9,12,12,15,11,8,2,6,19,8,2,5,3,2,3,3,6,6,4,4,5,6
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20000123,6,6,5,5,8,4,5,5,7,6,7,5,6,6,4,7,6,7,8,9,7,7,10,10
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20000124,4,3,4,2,4,6,7,9,14,8,6,4,6,9,5,7,8,2,3,3,3,1,3,2
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20000125,2,0,0,0,0,1,6,7,7,5,2,1,3,4,5,4,3,6,3,7,4,5,0,2
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20000126,0,0,0,2,0,3,4,8,6,9,8,5,4,2,4,5,3,2,2,0,4,4,5,1
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20000127,4,3,0,0,2,5,4,3,0,4,6,1,0,0,1,0,2,0,2,3,1,3,4,4
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20000128,5,6,7,7,7,6,8,8,6,10,6,6,10,5,8,11,7,10,3,0,0,2,2,7
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20000129,4,4,2,3,2,2,1,3,1,4,2,4,9,4,3,4,3,6,4,7,4,5,3,5
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20000130,2,8,5,6,2,4,1,4,2,6,4,4,4,5,2,6,3,7,4,7,4,6,5,5
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20000131,2,4,2,4,2,4,2,7,7,12,7,6,3,6,4,8,3,5,4,4,3,4,2,3
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20000201,0,3,2,3,3,3,2,3,3,6,12,11,12,13,15,11,12,12,13,12,17,14,16,12
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20000202,15,13,13,11,15,11,15,15,23,26,23,13,14,8,10,7,8,10,8,7,6,9,10,11
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20000203,9,10,5,10,9,15,9,12,15,15,12,7,7,4,6,7,9,6,6,6,3,3,3,3
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20000204,3,4,1,3,1,5,7,8,10,9,4,4,5,3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20000205,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20000206,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
PM2.5,706,10102,St Johns,NL,47.56038,-52.7115,20000207,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
