Pollutant//Polluant,Method Code//Code Méthode,NAPS ID//Identifiant SNPA,City//Ville,Province/Territory//Province/Territoire,Latitude//Latitude,Longitude//Longitude,Date//Date,H01//H01,H02//H02,H03//H03,H04//H04,H05//H05,H06//H06,H07//H07,H08//H08,H09//H09,H10//H10,H11//H11,H12//H12,H13//H13,H14//H14,H15//H15,H16//H16,H17//H17,H18//H18,H19//H19,H20//H20,H21//H21,H22//H22,H23//H23,H24//H24
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970101,0,1,2,0,0,1,6,0,0,2,5,2,2,2,3,6,4,7,3,3,2,3,2,3
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970102,1,0,2,2,1,1,1,2,4,7,6,4,9,6,3,2,3,5,4,3,2,3,4,2
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970103,1,0,3,2,0,1,1,3,3,2,3,4,3,5,5,4,4,5,8,5,6,6,11,7
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970104,4,7,10,7,7,6,5,6,5,5,6,6,2,4,5,6,8,14,14,9,8,16,21,12
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970105,9,6,4,5,5,7,6,6,8,9,10,9,12,9,1,3,3,2,2,0,-999,-999,0,1
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970106,-999,0,1,0,0,0,0,1,3,3,3,5,4,2,2,4,8,6,5,3,4,3,3,1
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970107,0,0,0,0,2,1,2,1,2,0,3,0,1,1,1,0,0,1,1,1,1,4,2,3
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970108,2,0,1,0,0,0,2,3,5,0,4,3,3,0,3,4,4,3,3,2,1,2,3,3
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970109,1,1,2,2,2,2,4,3,2,2,3,2,3,5,5,6,5,4,2,2,5,6,7,6
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970110,8,6,7,12,6,0,1,1,0,0,2,0,2,0,-999,0,2,9,17,6,4,2,4,5
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970111,7,8,8,7,6,6,9,11,7,7,15,5,5,8,4,5,8,10,7,9,9,8,3,1
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970112,2,2,2,2,4,3,3,4,4,4,4,2,2,3,4,4,5,6,7,8,4,5,6,6
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970113,5,3,5,3,3,4,5,5,5,6,6,3,4,3,4,3,4,4,4,4,3,3,3,2
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970114,2,2,4,2,1,3,2,4,5,5,4,2,1,2,3,5,7,3,5,6,5,6,9,3
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970115,2,2,4,3,1,2,3,3,8,10,2,7,7,4,5,7,5,11,8,7,9,5,8,12
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970116,13,6,10,11,14,18,10,12,11,9,10,8,7,5,7,5,8,5,6,4,10,3,6,3
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970117,4,3,0,0,3,0,2,1,2,3,2,1,0,2,3,4,4,6,6,1,4,4,3,4
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970118,3,1,2,2,9,10,14,7,4,7,5,5,4,7,7,7,6,6,8,6,7,3,0,2
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970119,2,2,5,1,2,1,5,5,7,4,6,4,2,4,5,5,7,7,6,8,6,6,4,4
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970120,4,5,5,2,5,7,3,5,7,8,8,8,10,12,10,12,12,15,11,15,16,11,9,12
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970121,11,4,6,6,5,7,6,9,10,9,7,5,2,1,2,3,5,6,4,7,3,2,1,2
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970122,1,9,5,4,8,21,18,23,3,8,11,9,7,10,13,14,13,17,18,15,18,18,15,14
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970123,13,12,12,10,7,8,10,8,11,12,14,14,4,-999,0,2,1,3,2,5,3,2,4,3
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970124,2,3,3,1,1,2,2,2,3,4,2,2,3,2,6,7,10,3,5,4,4,0,4,3
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970125,2,2,3,1,1,4,3,4,4,5,1,0,2,0,5,6,3,5,7,8,5,2,2,0
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970126,4,0,4,5,-999,2,4,5,4,3,4,2,3,2,4,5,4,6,5,4,3,4,4,2
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970127,4,1,3,1,2,2,3,4,2,4,3,4,4,4,4,7,5,7,14,17,22,20,28,3
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970128,12,12,11,0,0,4,1,0,-999,0,0,0,0,-999,7,18,2,1,4,1,-999,4,8,9
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970129,5,7,4,4,3,3,4,7,6,1,3,0,0,5,2,4,6,7,7,5,3,4,2,3
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970130,3,2,2,6,0,2,3,2,4,3,2,3,0,5,2,3,6,5,3,25,23,9,2,5
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970131,4,4,7,6,8,8,9,8,16,21,4,2,1,5,6,6,4,5,3,4,4,5,4,-999
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970201,4,5,6,4,5,5,4,8,5,4,3,4,3,2,3,3,2,5,4,5,4,2,3,2
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970202,11,9,6,6,3,4,4,3,4,4,4,3,5,8,7,6,9,10,10,11,8,13,11,14
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970203,17,25,17,20,18,20,21,24,25,36,30,22,23,24,21,19,10,16,12,14,11,11,9,10
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970204,11,9,7,4,3,3,4,5,5,6,4,2,3,4,4,5,3,9,9,5,10,2,23,3
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970205,5,4,2,0,0,1,0,3,3,3,4,0,-999,-999,-999,-999,1,4,4,3,0,0,0,1
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970206,0,1,1,1,0,5,3,5,4,5,4,5,5,-999,-999,-999,0,0,4,6,9,6,5,5
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970207,5,6,4,7,7,11,8,9,9,5,5,4,0,1,2,2,3,5,9,7,10,7,5,2
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970208,0,0,0,2,2,3,3,4,3,4,3,3,3,3,2,3,3,6,7,9,5,4,5,3
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970209,4,2,3,4,4,4,4,8,5,10,12,12,8,1,3,3,6,13,16,4,2,2,4,9
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970210,4,4,4,3,4,5,7,8,8,7,8,7,6,6,6,7,6,9,10,8,10,10,8,5
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970211,3,5,4,1,3,3,3,4,3,2,2,2,0,0,1,2,3,4,9,6,7,7,9,6
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970212,4,4,1,3,4,4,5,16,22,15,22,15,4,6,7,4,4,6,6,12,10,11,16,14
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970213,15,16,18,15,16,18,12,9,7,4,3,1,0,2,3,3,4,4,8,5,2,5,6,5
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970214,11,10,4,15,12,11,19,22,34,49,47,14,1,4,2,0,0,1,0,0,-999,-999,0,0
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970215,4,2,5,1,0,1,0,1,2,4,0,0,2,6,6,7,8,9,11,14,10,16,10,13
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970216,8,11,10,10,11,11,8,6,5,3,1,3,3,1,3,2,3,5,6,6,4,6,4,2
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970217,4,2,2,1,2,3,1,3,7,4,3,4,1,1,39,0,3,5,7,5,5,13,13,4
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970218,6,7,5,13,11,8,8,10,13,12,11,11,13,13,16,16,18,18,20,20,19,19,20,23
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970219,24,22,22,20,17,18,23,25,28,31,32,23,41,25,22,25,26,22,17,21,19,12,7,6
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970220,2,3,1,3,4,6,10,11,9,6,3,5,0,0,1,1,1,3,6,7,4,2,11,8
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970221,4,5,4,4,4,5,6,10,8,12,9,10,10,9,11,10,10,11,10,10,6,6,3,4
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970222,4,3,3,4,0,1,0,-999,0,0,1,1,0,1,1,2,0,0,2,1,0,3,2,3
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970223,5,5,6,5,5,4,4,3,6,6,4,12,3,3,5,2,4,4,6,6,4,9,9,5
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970224,6,5,2,7,5,11,8,16,22,12,3,0,9,3,1,1,2,3,11,7,3,8,9,6
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970225,2,2,3,0,3,2,3,4,7,3,2,1,4,0,2,2,4,4,3,13,11,8,7,1
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970226,5,4,1,2,1,14,14,8,12,11,12,10,9,11,13,12,15,17,15,16,9,9,15,16
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970227,20,26,22,18,16,14,21,20,18,15,17,19,21,10,10,6,9,10,13,13,7,11,13,6
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970228,3,5,5,4,6,6,5,7,9,5,5,6,5,3,4,4,5,3,8,11,11,10,12,-999
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970301,4,8,8,10,12,6,9,12,17,18,10,3,3,1,7,4,6,2,7,9,5,7,6,6
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970302,8,8,9,4,1,2,0,1,4,5,5,4,4,2,1,5,7,9,7,5,6,6,2,4
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970303,6,2,4,3,4,4,2,4,1,2,2,1,0,0,0,0,3,1,3,6,5,4,4,2
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970304,3,4,3,3,2,5,2,4,6,6,4,3,0,0,0,0,1,6,3,6,5,5,4,3
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970305,3,2,3,2,3,3,3,4,3,3,1,4,4,4,5,5,6,6,12,11,10,8,10,10
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970306,13,6,4,2,1,1,0,0,0,-999,-999,-999,-999,0,-999,0,0,-999,2,7,7,7,4,5
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970307,8,6,5,4,5,5,3,5,4,4,5,4,4,4,3,5,6,7,6,9,12,5,5,5
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970308,7,5,5,6,9,6,5,5,6,6,4,4,4,4,5,5,6,5,8,7,13,8,5,5
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970309,6,7,5,3,4,4,5,4,3,5,4,3,2,1,3,3,4,3,4,5,6,13,14,5
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970310,12,19,11,14,9,9,13,8,3,4,1,1,4,0,2,3,1,1,2,3,3,2,2,0
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970311,2,3,2,2,2,5,5,8,6,5,6,6,7,-999,7,7,7,6,4,3,4,4,12,14
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970312,7,7,6,7,7,7,6,5,3,3,3,4,1,1,1,1,2,3,5,4,5,9,7,8
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970313,2,3,2,1,2,2,2,1,3,2,3,5,3,3,4,3,5,4,5,4,1,1,2,1
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970314,3,6,3,2,4,4,3,3,2,5,5,3,5,2,3,12,15,9,9,5,7,6,5,1
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970315,0,0,0,0,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,0,3,4,1,6,4,8,-999,0
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970316,0,5,4,4,4,3,4,4,5,2,5,3,3,3,3,4,2,3,5,6,9,4,3,4
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970317,5,8,8,3,5,4,7,4,6,5,2,1,2,2,1,2,3,5,8,11,6,5,7,5
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970318,6,12,8,12,8,8,8,9,7,8,7,6,4,3,2,1,2,2,5,5,5,9,11,6
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970319,4,3,3,3,2,2,2,4,4,3,2,1,1,0,0,1,3,7,8,11,9,10,7,4
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970320,4,3,3,3,5,9,13,15,40,23,11,3,2,3,3,4,3,7,8,7,7,5,10,2
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970321,1,1,2,1,8,1,2,8,3,6,6,7,6,3,3,3,1,0,5,8,8,7,5,6
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970322,6,7,14,13,8,2,3,1,2,1,1,2,2,3,4,5,5,3,3,2,3,1,3,2
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970323,0,0,0,0,2,2,3,4,4,4,1,2,1,2,4,4,5,5,7,11,8,9,5,5
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970324,4,5,3,2,3,3,3,6,7,5,6,5,2,6,2,3,5,3,6,6,4,5,4,3
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970325,2,4,5,4,5,5,7,7,8,4,2,0,0,0,6,12,8,12,14,8,6,7,14,12
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970326,3,0,0,0,-999,0,0,2,1,6,4,4,6,2,1,0,3,7,3,9,3,5,5,6
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970327,5,6,6,4,4,4,4,4,3,3,2,2,1,5,2,12,1,5,8,9,9,8,6,7
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970328,5,8,8,9,10,10,10,14,7,6,3,5,12,15,22,10,11,16,15,13,12,18,19,12
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970329,10,7,8,5,7,5,8,6,5,2,5,5,3,7,1,6,10,6,5,4,4,3,1,3
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970330,0,4,0,0,0,1,0,2,2,3,0,1,0,0,-999,0,0,0,0,1,1,3,2,4
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970331,3,3,1,5,4,4,2,4,3,4,1,5,1,3,6,6,4,3,5,5,3,2,3,-999
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970401,2,1,2,2,0,0,0,2,1,0,0,1,0,3,3,0,2,4,0,2,3,0,0,0
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970402,0,0,1,0,1,2,2,2,1,2,3,1,2,1,0,2,3,5,2,3,4,0,3,2
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970403,0,1,2,3,2,2,3,2,2,3,0,0,0,0,0,0,0,4,6,6,11,9,3,7
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970404,5,10,8,6,9,2,1,3,4,1,0,3,6,5,4,5,9,8,9,9,10,10,9,12
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970405,9,6,6,4,5,8,8,21,6,1,1,0,12,22,13,18,15,13,9,11,10,9,14,11
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970406,13,12,12,11,15,16,19,19,8,10,11,32,6,7,5,5,6,7,4,1,3,2,0,0
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970407,5,1,2,0,0,0,3,0,6,5,19,4,3,3,4,3,6,5,3,12,9,6,3,2
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970408,5,1,3,2,4,5,10,7,3,0,7,-999,2,2,3,0,1,4,4,4,6,4,3,3
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970409,3,3,2,2,3,3,4,3,0,1,0,2,2,3,4,4,2,3,4,8,7,5,1,4
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970410,2,0,0,2,5,2,4,2,2,4,2,1,3,0,1,0,2,2,4,4,5,1,3,4
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970411,3,3,3,4,4,5,7,5,3,3,0,0,0,0,0,1,2,3,3,8,9,17,8,5
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970412,5,5,7,6,6,6,5,8,4,2,1,1,0,2,17,7,9,8,4,10,14,11,24,30
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970413,13,6,6,3,0,0,0,0,0,1,0,0,2,3,4,4,4,3,0,2,3,2,0,0
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970414,3,2,5,5,5,2,5,4,5,7,6,2,2,4,2,3,3,5,3,6,7,5,3,5
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970415,3,2,2,3,3,4,4,2,3,1,3,0,0,-999,0,0,1,1,2,5,5,2,1,2
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970416,2,4,2,3,4,5,5,5,3,2,1,0,0,3,3,6,8,8,9,10,11,9,10,11
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970417,11,10,13,13,13,14,16,17,16,15,19,22,24,30,25,31,23,27,20,16,18,20,20,18
PM2.5,706,40203,Saint John,NB,45.308762,-66.008384,19970418,24,20,23,15,10,9,5,6,9,5,7,6,7,6,6,2,3,3,2,4,2,2,1,0
