province,date,ab_size_ha
AB,2000-07-25,1126.53184965
AB,2000-06-28,2148.57315566
AB,,88.1100827133
AB,,23.9065690754
AB,,195.364923849
AB,,45.2276181868
AB,,332.489751567
AB,,3.38340828734
AB,,15.3947277416
AB,,42.6603625438
AB,,79.2371680391
AB,,43.6351106709
AB,,22.0191287677
AB,,19.0849226833
AB,,15.0131526519
AB,,25.6906942314
AB,,855.34686224
AB,,10.0542959057
AB,,24.4368369322
AB,,15.1078064583
AB,,15.9561984735
AB,,31.240629114
AB,,1027.61078692
AB,2000-06-03,100.103549103
AB,2000-06-04,146.672943726
AB,,38.6092312133
AB,2000-07-29,167.654570292
AB,,59.0844262604
AB,,506.852591348
AB,,235.211182749
AB,,27.9406298761
AB,,70.120494843
AB,,21.5943064498
AB,,24.660612175
AB,,28.8962950344
AB,,265.034482776
AB,,26.4034764975
AB,,7.94509009454
AB,,207.916487618
AB,,88.6162844312
AB,,23.133737801
AB,,1314.8565956
AB,,48.6764581308
AB,,11.7052789913
AB,2000-05-14,369.59555189
AB,2000-06-04,119.591289589
AB,,9.9977643825
AB,,98.0553422791
AB,,3.33263186807
AB,,2.07160287755
AB,,2.19725927038
AB,,2.72858208053
AB,,229.098149677
AB,,5.94340263701
AB,,2.25173031405
AB,,74.2175224501
AB,,7.02546399878
AB,,7.92543336201
AB,,6.39454096616
AB,2000-06-03,459.542918231
AB,,3.51279443742
AB,,4.56502877237
AB,,19.0004587269
AB,,5.31411776979
AB,,12.5429657083
AB,,31.1781995727
AB,,3.28823631508
AB,2001-05-26,7648.63004047
AB,2001-05-26,1931.88268068
AB,2001-07-10,11.9181912035
AB,2001-05-24,109751.662204
AB,2001-09-30,336.488329299
AB,2001-10-17,9840.89505833
AB,2001-05-18,198.456406908
AB,,57.8270469808
AB,,75.3322963556
AB,,20.1384039252
AB,,34.6543337731
AB,,42.5058820209
AB,,15.9073583966
AB,,39.0112321654
AB,,48.2089327913
AB,,352.528456281
AB,,1201.90797914
AB,,154.077955047
AB,,604.461226633
AB,,251.879547109
AB,,29.532113064
AB,,910.705154359
AB,,12.3627198273
AB,,62.6175897811
AB,,9606.09953049
AB,,129.429848769
AB,,23.2277945725
AB,,215.718972996
AB,,97.0288622786
AB,,340.360728665
AB,,68.684180793
AB,,10.4205597123
AB,,161.330038691
AB,,355.128772401
AB,,615.823027508
AB,,87.1450181691
AB,,102.697211381
AB,,13.0563572139
AB,,111.096947236
AB,,94.9261552521
AB,,73.9365047451
AB,,656.645163673
AB,,28.174169526
AB,,23.4657382856
AB,,2.0714652404
AB,,3.2425878253
AB,,118.365884934
AB,2001-05-28,8342.55256343
AB,,11.1625704482
AB,,8.64377042761
AB,,3.56302092557
AB,,7.65611456526
AB,,7.20409481164
AB,,4.32238557977
AB,,10.1957804409
AB,,2.6120017552
AB,2002-06-11,3950.62263106
AB,2002-06-05,1134.96413907
AB,2002-06-27,1033.62757934
AB,2002-06-10,4937.88426142
AB,2002-06-10,134338.926209
AB,2002-06-26,575.057072204
AB,2002-06-27,3462.27794936
AB,2002-06-26,4836.66263563
AB,2002-06-25,691.100559763
AB,2002-06-25,6975.17775388
AB,2002-06-07,1283.74767951
AB,2002-06-24,10363.6464157
AB,2002-06-26,1478.30533067
AB,2002-06-22,4135.18944268
AB,2002-06-25,4121.33691127
AB,2002-05-18,237805.074805
AB,2002-06-04,56591.2571086
AB,2002-06-25,8936.25936188
AB,2002-06-04,165.849667158
AB,2002-06-12,621.396134385
AB,2002-06-25,3540.25871759
AB,2002-07-11,1564.92707961
AB,2002-06-26,2702.34406468
AB,2002-06-25,23.066055033
AB,2002-04-30,75.656990413
AB,2002-07-17,31.6510431064
AB,,88.2321638364
AB,,313.534153199
AB,,13.416782087
AB,,19.9672412555
AB,,82.2891592702
AB,,26.0568863264
AB,,37.743328726
AB,,692.805046284
AB,,33.2354017339
AB,,16.0780229938
AB,,35.5894815464
AB,,41.579220495
AB,,38.4231003993
AB,,15.4804111429
AB,,9.6622196663
AB,,18.1704696254
AB,,45.3285815171
AB,,584.758517757
AB,2002-06-24,59.7154394857
AB,,28.134131384
AB,,211.02903687
AB,,20.368569052
AB,,131.38689645
AB,,68.1665729315
AB,,23.5658779099
AB,2002-06-23,36.8616164262
AB,,14.6207261272
AB,,77.7485635872
AB,2002-07-13,186.038520527
AB,2002-06-24,285.425202781
AB,2002-06-26,202.261252272
AB,,49.1797994444
AB,,23.0330678187
AB,,16.6787702098
AB,,13.8581209723
AB,,35.9462035972
AB,,28.7394038905
AB,,23.4295838637
AB,,36.204622289
AB,,17.21996263
AB,,54.9966922794
AB,,25.2737033877
AB,,46.6948139423
AB,,35.351752349
AB,,58.7610499578
AB,,6.75537727514
AB,,3.87202909512
AB,,56.6982364673
AB,2002-05-21,3310.58815285
AB,,3.69274039391
AB,,4.14331262688
AB,,2.52157659591
AB,,2.52102676978
AB,2002-07-17,68.2529187413
AB,,7.83256897726
AB,,2.18445615035
AB,,3.45751740856
AB,,290.403070248
AB,,2.4319228781
AB,,6.93341026449
AB,,11.318114707
AB,,7.20304940703
AB,,5.80195649831
AB,,2.64761113797
AB,,2.25161783345
AB,,2.88226291008
AB,,15.6712270957
AB,,11.0475182463
AB,2003-07-31,3210.97513143
AB,2003-05-12,4.14617281905
AB,2003-06-18,475.007971421
AB,2003-08-01,345.777163556
AB,2003-06-06,253.985173547
AB,2003-07-27,6039.98384555
AB,2003-08-02,236.743089602
AB,,9.9094978692
AB,2003-08-01,1086.73533915
AB,2003-05-27,1231.04677049
AB,,14.8918715619
AB,,1.0151981065
AB,,1.36209425563
AB,,6.87728771521
AB,2003-04-21,33.7847666308
AB,2003-07-31,45.6646653345
AB,,0.546485285094
AB,2003-05-12,3.38114926837
AB,,3107.68607517
AB,,171.016924537
AB,,14.0836601319
AB,,1.3096890281
AB,,1.25614260454
AB,,1.46941375795
AB,,3.36636547943
AB,,342.020540963
AB,,252.829826023
AB,,5.04429406469
AB,,1.31008861132
AB,,1.07892598793
AB,,17.850420506
AB,,0.9232420114
AB,,5.6665763125
AB,,1.09039721334
AB,,1.11114774686
AB,,1.33308952922
AB,,2.4482254328
AB,2003-05-11,2.22529046164
AB,2003-07-17,15.3770042925
AB,,5.4016503386
AB,,1.68465500916
AB,,1.71924583918
AB,,2.14866022598
AB,,6.67811835779
AB,,20.7020184282
AB,,2.77113416234
AB,,2.48250034763
AB,,1.44084916711
AB,,1.88628851431
AB,,0.873999490491
AB,,1.5338060427
AB,,6.8533981204
AB,,9.50774068509
AB,,7.6359455395
AB,,3.34828964101
AB,,6.7366819837
AB,,4.14103899069
AB,,1.6265818122
AB,,6.64963885404
AB,,7.6524191781
AB,,0.929541865052
AB,,3.1509972239
AB,2003-07-23,18070.0226467
AB,2003-05-18,8.4339592435
AB,2003-08-02,53.9368995937
AB,2003-10-19,1674.95638233
AB,2003-09-05,221.739156673
AB,2003-07-18,9.25482046425
AB,2003-07-08,2.293435664
AB,2003-08-02,532.508972461
AB,2003-09-02,29948.0972556
AB,,3.06155804058
AB,,0.3027793077
AB,2003-08-01,2.31383938535
AB,,1.40778162906
AB,2003-04-29,30.1563980367
AB,,21.1185790298
AB,,4.18764378677
AB,,37.1596877608
AB,,2.4351849335
AB,,7.2867798819
AB,,15.7819640573
AB,,0.609225166877
AB,,2.15461527861
AB,,2.5951578763
AB,,1.4423633692
AB,,2.81030409211
AB,,3.07176205007
AB,,15.0465430724
AB,,3.6809333314
AB,,15.4484784987
AB,,3.68021420704
AB,,4.01806536034
AB,,28.6976480285
AB,,2.8119968592
AB,,11.1015183063
AB,,4.88872655441
AB,,1.58046602426
AB,,2.94633227594
AB,,4.49384469878
AB,,33.1097020835
AB,,3.47542567039
AB,,1.46463843118
AB,,0.637868481312
AB,,35.4947457492
AB,,1.66319378128
AB,,1.66967379396
AB,,3.60121934289
AB,2003-08-02,86.098975479
AB,,17.9241791115
AB,2003-08-01,14.9519557703
AB,,13.2304878088
AB,,1.27080819639
AB,2004-07-24,15725.1287363
AB,2004-07-24,968.950677762
AB,2004-07-15,960.069619892
AB,2004-07-16,12749.8705854
AB,2004-07-20,3966.41885414
AB,2004-07-25,142.267168959
AB,2004-08-18,47.9207308412
AB,2004-07-17,389.432618559
AB,2004-07-05,11.6488940317
AB,2004-06-21,1.36267762959
AB,2004-07-10,288.327460783
AB,2004-07-12,33758.8105101
AB,2004-07-16,1101.50863077
AB,2004-07-12,14085.7855662
AB,2004-07-16,1747.97018977
AB,2004-07-13,112563.057406
AB,2004-07-18,8.57951996581
AB,2004-07-23,14112.2828346
AB,2004-07-24,3.45014786865
AB,2004-04-26,1554.93031335
AB,2004-07-12,1172.71727802
AB,2004-06-25,5.06301050259
AB,2004-07-16,1.23321089999
AB,2004-07-16,2.0900617312
AB,2004-07-11,4.03328456041
AB,2004-07-11,780.372408355
AB,2004-06-19,363.960524153
AB,2004-07-17,310.536247771
AB,2004-05-18,865.141504405
AB,2004-06-26,106.022203869
AB,2004-07-15,29.9795467461
AB,2004-07-17,6.82058209035
AB,2004-07-11,2.02201774106
AB,2004-07-12,1.29823354926
AB,2004-07-23,110.360367175
AB,2004-07-01,9.12464891743
AB,2004-06-30,1.32783851133
AB,2004-07-17,8.5172854519
AB,2004-07-12,4281.52634133
AB,2004-07-16,194.545317683
AB,2004-07-17,266.403095905
AB,2004-04-25,1.40549747509
AB,2004-08-13,4.07410686846
AB,2004-07-23,288.400176385
AB,2004-08-07,289.506821627
AB,2004-07-15,815.637939672
AB,2004-07-15,547.083643516
AB,2004-07-15,534.414599459
AB,2004-07-11,30.417130867
AB,2004-07-15,29.5335156649
AB,2004-07-12,3.12141480351
AB,2004-07-17,32.045787315
AB,2004-07-11,8.58654134761
AB,2004-04-10,14.406281708
AB,2004-04-20,1.21835933674
AB,2004-07-12,1.3374728177
AB,2004-07-16,2.2244735885
AB,2004-08-13,26.3653283044
AB,2004-07-16,1.06690985952
AB,2004-04-17,1002.97461267
AB,2004-05-01,0.958350997347
AB,2004-07-01,2.00700932736
AB,2004-06-20,8.0755531958
AB,2004-07-15,1.5760557002
AB,2004-07-18,2.63425503666
AB,2004-04-11,7.7259464487
AB,2004-06-21,3.3417494058
AB,2004-09-25,316.503797922
