province,year,size_ha
PC-KO,2014.0,1.34790199399926
PC-KO,2015.0,1.97354059548
PC-KO,2017.0,7027.2221038
PC-KO,2018.0,3735.445660467
PC-KO,2021.0,1.0867338647567
PC-KO,2022.0,0.3021358503
PC-LM,1999.0,35.06149150460634
PC-LM,2000.0,0.0937249743243
PC-LM,2001.0,31.4602941156
PC-LM,2002.0,0.1684149400246076
PC-LM,2003.0,388.7109634257358
PC-LM,2004.0,18.108078146494222
PC-LM,2005.0,12.5503975331
PC-LM,2006.0,2.29733546428
PC-LM,2007.0,31.786943917124567
PC-LM,2008.0,107.942670313
PC-LM,2009.0,28.4068634207
PC-LM,2010.0,30.8206419775042
PC-LM,2012.0,8.85763003216153
PC-LM,2014.0,263.27111498542104
PC-LM,2015.0,780.1218887260113
PC-LM,2021.0,210.1464125189293
PC-LM,2022.0,75.7594313543
PC-NA,1998.0,1643.16629007
PC-NA,2001.0,238.793271878
PC-NA,2004.0,1596.269195109
PC-NA,2006.0,6153.29213624
PC-NA,2009.0,4769.245374858329
PC-NA,2011.0,985.244435882
PC-NA,2012.0,13297.7480601659
PC-NA,2013.0,17041.463075353433
PC-NA,2014.0,2969.6259343694
PC-NA,2015.0,67263.53169066111
PC-NA,2016.0,72.813211423696
PC-NA,2017.0,3010.73490138824
PC-NA,2018.0,7013.889440970001
PC-NA,2021.0,42443.92806642198
PC-NA,2022.0,14738.6702186279
PC-PA,1998.0,3676.3074175866627
PC-PA,1999.0,52.985731328311
PC-PA,2000.0,5.277318715310001
PC-PA,2001.0,9.815756814667001
PC-PA,2002.0,2202.791340671497
PC-PA,2003.0,49.514768196926
PC-PA,2005.0,21.6461334948
PC-PA,2006.0,1191.06586881478
PC-PA,2007.0,37.052552551525
PC-PA,2008.0,12.672354043902
PC-PA,2009.0,4449.594762830119
PC-PA,2010.0,295.3232553573
PC-PA,2011.0,551.5072539912
PC-PA,2012.0,976.766211217366
PC-PA,2013.0,763.5313487515
PC-PA,2014.0,1458.94076254
PC-PA,2015.0,10634.482256138335
PC-PA,2016.0,707.052168034
PC-PA,2018.0,18574.5186038
PC-PA,2021.0,89.5864604939
PC-PA,2022.0,46.3975020518
PC-PP,2022.0,0.7438519786
PC-PU,2001.0,24.636904090043
PC-PU,2003.0,1.05602888553
PC-PU,2005.0,13.989184921422
PC-PU,2006.0,170.89619211935099
PC-PU,2008.0,356.022144509
PC-PU,2011.0,7.31984950697
PC-PU,2012.0,292.81790968304
PC-PU,2014.0,211.500178815
PC-PU,2021.0,1.81047695603
PC-RE,1998.0,0.211199522445
PC-RE,2000.0,0.528007881677
PC-RE,2003.0,245.5102406066402
PC-RE,2009.0,1.0137759949
PC-RE,2010.0,0.0316801672
PC-RE,2011.0,0.010560242
PC-RE,2012.0,0.1056050725
PC-RE,2013.0,0.1161595045
PC-RE,2015.0,0.3168132836
PC-RE,2018.0,258.867051188
PC-RE,2022.0,2.2034275276
PC-RM,1998.0,9.027353766188
PC-RM,1999.0,166.177820656
PC-RM,2000.0,1227.5421060947
PC-RM,2001.0,421.933366580779
PC-RM,2002.0,2112.48567317823
PC-RM,2003.0,4609.6126749402
PC-RM,2004.0,740.0342147224001
PC-RM,2005.0,2792.307321325
PC-RM,2006.0,1545.6961614
PC-RM,2007.0,753.201650951
PC-RM,2008.0,3990.912121
PC-RM,2009.0,354.5574039365
PC-RM,2010.0,1640.221888704981
PC-RM,2011.0,1619.392483826089
PC-RM,2012.0,597.0241681796281
PC-RM,2013.0,61.9137571083
PC-RM,2014.0,109.309149739546
PC-RM,2015.0,2447.3155583895737
PC-RM,2021.0,39.88929641606
PC-RM,2022.0,254.99791413169999
PC-TH,2022.0,1057.1946681093
PC-TN,2002.0,112.848660246
PC-TN,2008.0,0.0354763449441
PC-TN,2009.0,10.9739721539
PC-TN,2014.0,5.85708618132
PC-TN,2015.0,76.628370209
PC-VU,2007.0,1225.56694277
PC-VU,2020.0,397.701943975
PC-WB,1998.0,16531.79520738088
PC-WB,1999.0,67805.75496695098
PC-WB,2000.0,4444.0307581499
PC-WB,2001.0,9204.44395637044
PC-WB,2002.0,3928.21142230342
PC-WB,2003.0,63382.178648175
PC-WB,2004.0,143164.16342230348
PC-WB,2005.0,27715.07513389472
PC-WB,2006.0,9195.479884205863
PC-WB,2007.0,164573.398656155
PC-WB,2008.0,2498.28652106627
PC-WB,2009.0,11985.8900878455
PC-WB,2010.0,4724.751658736351
PC-WB,2011.0,66477.70685891308
PC-WB,2012.0,181046.4215150525
PC-WB,2013.0,33846.93428759688
PC-WB,2014.0,202124.2681952627
PC-WB,2015.0,373691.3155956898
PC-WB,2016.0,7446.399403782
PC-WB,2017.0,80838.1465792542
PC-WB,2018.0,14250.834655300001
PC-WB,2019.0,124767.090472772
PC-WB,2020.0,73.1029773281
PC-WB,2021.0,68.73818282089209
PC-WB,2022.0,5959.6823334151995
PC-WL,1998.0,755.885737779077
PC-WL,2000.0,0.421978669047
PC-WL,2001.0,0.210983986468
PC-WL,2002.0,74.9085402555
PC-WL,2003.0,166.36796207195198
PC-WL,2005.0,0.31645524555
PC-WL,2006.0,985.862786391231
PC-WL,2007.0,0.105485948089
PC-WL,2008.0,1087.98768006
PC-WL,2009.0,6.32937594635
PC-WL,2010.0,2.63724058208
PC-WL,2011.0,6.22403535974
PC-WL,2013.0,6.11826305921
PC-WL,2014.0,940.885892801992
PC-WL,2015.0,761.945707320133
PC-WL,2017.0,18807.7130484
PC-WL,2021.0,8.00577670406
PC-WL,2022.0,402.36624417409996
PC-WP,1999.0,14071.5685778705
PC-WP,2003.0,6531.038680346
PC-WP,2004.0,354.155279683
PC-WP,2005.0,760.1809561350001
PC-WP,2012.0,98.9889318732
PC-WP,2013.0,4230.3446815517
PC-WP,2017.0,1686.875990434
PC-WP,2018.0,287.225329307
PC-WP,2020.0,954.5805847981
PC-YO,1998.0,0.0995684983269
PC-YO,1999.0,18.5220048821697
PC-YO,2000.0,0.0995705782994
PC-YO,2001.0,15.9872090697331
PC-YO,2002.0,0.9959792717558
PC-YO,2003.0,0.9200624934477
PC-YO,2004.0,0.1991385634018
PC-YO,2005.0,1131.6206364608
PC-YO,2006.0,0.1991393104629
PC-YO,2007.0,1.74506188653
PC-YO,2008.0,13.0016867324
PC-YO,2009.0,0.49876439917
PC-YO,2010.0,0.24892208319536
PC-YO,2011.0,555.52118574928
PC-YO,2012.0,0.0497854079464
PC-YO,2013.0,0.0011944535604
PC-YO,2022.0,0.1896027221
QC,1998.0,395358.97051834356
QC,1999.0,138757.53691674318
QC,2000.0,61735.86716893444
QC,2001.0,31723.699120719742
QC,2002.0,1186465.740489136
QC,2003.0,92439.88933348293
QC,2004.0,4604.12752653136
QC,2005.0,847821.7136316791
QC,2006.0,142070.36738015013
QC,2007.0,410431.5778856401
QC,2008.0,3100.2895527354
QC,2009.0,159123.24655991493
QC,2010.0,373240.284322344
QC,2011.0,24650.7814846494
QC,2012.0,78795.65110632924
QC,2013.0,1910643.2654271575
QC,2014.0,55328.32650205939
QC,2015.0,5633.397493735258
QC,2016.0,35622.1629097232
QC,2017.0,30589.363223459895
QC,2018.0,86655.7320627497
QC,2019.0,9246.946707170851
QC,2020.0,60244.13199095585
QC,2021.0,49329.58401580569
QC,2022.0,26726.6457135089
SK,1998.0,819160.9628911365
SK,1999.0,156003.6364502144
SK,2000.0,119272.16094418698
SK,2001.0,136556.6078477987
SK,2002.0,675286.2194090209
SK,2003.0,96750.82240712272
SK,2004.0,270996.13476101484
SK,2005.0,189678.59577315132
SK,2006.0,1053692.6711282157
SK,2007.0,168245.70748616708
SK,2008.0,894045.6385750336
SK,2009.0,32424.23001747661
SK,2010.0,1589053.7173590066
SK,2011.0,278030.16165221913
SK,2012.0,221521.88112118733
SK,2013.0,344746.60447719716
SK,2014.0,312806.9436144372
SK,2015.0,1462062.4884902944
SK,2016.0,226039.79903176494
SK,2017.0,370661.4493432006
SK,2018.0,110703.02921387539
SK,2019.0,55371.1419980699
SK,2020.0,42721.02179841919
SK,2021.0,868221.2838574734
SK,2022.0,224783.7417585787
YT,1998.0,304550.657852213
YT,1999.0,170837.03830963848
YT,2000.0,8774.758380476549
YT,2001.0,18441.777435228032
YT,2002.0,34374.77954288634
YT,2003.0,49437.95966804952
YT,2004.0,1624032.950663492
YT,2005.0,167492.5218716453
YT,2006.0,90264.82358726431
YT,2007.0,34200.24555028127
YT,2008.0,10987.901351498884
YT,2009.0,210669.80912273505
YT,2010.0,133309.9000336231
YT,2011.0,33395.699324653004
YT,2012.0,53722.05537787157
YT,2013.0,171482.19319869543
YT,2014.0,3211.19693397419
YT,2015.0,150323.441647824
YT,2016.0,19061.30364723
YT,2017.0,327670.81084293633
YT,2018.0,80654.0541651143
YT,2019.0,272838.6682647506
YT,2020.0,15940.677607575
YT,2021.0,133944.93669799887
YT,2022.0,194279.0378628768
