province,date,bc_size_ha
BC,1999-10-14,57.5027344776
BC,1999-04-18,41.346666132
BC,1999-12-19,18.8302457222
BC,1999-07-28,27.6953135206
BC,1999-04-29,41.4936255202
BC,1999-09-14,293.921296633
BC,1999-03-21,45.2602113458
BC,1999-04-11,43.5782925532
BC,1999-04-22,15.752390411
BC,1999-09-14,152.479822358
BC,1999-05-24,46.9285901657
BC,1999-04-25,11.2288279107
BC,1999-09-13,70.2104245461
BC,1999-08-23,129.977361339
BC,1999-10-26,18.1516475141
BC,1999-03-10,3769.08085376
BC,1999-09-23,88.8099475432
BC,1999-04-18,98.9465733392
BC,1999-05-26,43.8546182162
BC,1999-10-19,87.897767711
BC,1999-04-29,38.5205765005
BC,1999-04-12,12.2790848084
BC,1999-10-16,114.575131167
BC,1999-09-20,23.0255925593
BC,1999-10-18,227.866895593
BC,,0.720388570398
BC,,5.94411203276
BC,,6.21429931782
BC,,9.45269817484
BC,,3.96293490387
BC,1999-08-05,37.8287996809
BC,,19.2674058585
BC,,2.81682145051
BC,1999-07-17,1609.79689013
BC,,11.864375276
BC,1999-07-18,20.0817242369
BC,,2.7043964108
BC,,10.8953039266
BC,1999-08-04,700.027659747
BC,1999-08-06,547.60805023
BC,1999-08-05,1447.08123933
BC,1999-08-05,257.791835209
BC,1999-08-04,112.225152591
BC,1999-07-25,192.82739758
BC,2000-08-17,58.7916957685
BC,2000-08-12,122.034273404
BC,2000-08-20,18.4594174805
BC,2000-08-15,41.1204658674
BC,2000-05-01,91.2169481419
BC,2000-08-13,74.250958423
BC,2000-08-10,22.6307435277
BC,2000-08-10,240.782472098
BC,2000-08-12,98.6014387444
BC,2000-08-10,72.4103625934
BC,2000-08-03,266.601286845
BC,2000-08-09,104.298798168
BC,2000-10-10,15.4546773952
BC,2000-06-02,812.369013888
BC,2000-06-04,22.0609230038
BC,2000-10-11,25.1423243853
BC,2000-04-19,128.530961097
BC,2000-08-03,44.9654820172
BC,2000-03-17,34.0987704131
BC,2000-05-23,60.4644680578
BC,2000-08-11,47.6505585375
BC,2000-05-25,42.4775715905
BC,2000-10-06,15.8769858632
BC,2000-04-10,12.2272829001
BC,2000-08-06,135.627662781
BC,2000-10-10,12.2218381015
BC,2000-10-09,15.9739052925
BC,2000-06-27,24.3507266363
BC,2000-05-23,31.391735585
BC,2000-04-28,1.42023827877
BC,2000-08-10,34.4706146445
BC,2000-07-31,417.858790219
BC,2000-06-28,20.041485785
BC,2000-04-06,12.3117258714
BC,2000-10-07,38.1170554389
BC,2000-06-04,22.1020704826
